year,age_group,state,donations
2007,35-39,Sarawak,11
2007,35-39,Selangor,1400
2007,35-39,Terengganu,32
2007,35-39,W.P. Kuala Lumpur,7641
2007,40-44,Johor,288
2007,40-44,Kedah,742
2007,40-44,Kelantan,409
2007,40-44,Malaysia,10787
2007,40-44,Melaka,1143
2007,40-44,Negeri Sembilan,602
2007,40-44,Pahang,117
2007,40-44,Perak,4
2007,40-44,Pulau Pinang,0
2007,40-44,Sabah,843
2007,40-44,Sarawak,2
2007,40-44,Selangor,992
2007,40-44,Terengganu,33
2007,40-44,W.P. Kuala Lumpur,5612
2007,45-49,Johor,214
2007,45-49,Kedah,547
2007,45-49,Kelantan,284
2007,45-49,Malaysia,7515
2007,45-49,Melaka,850
2007,45-49,Negeri Sembilan,450
2007,45-49,Pahang,78
2007,45-49,Perak,5
2007,45-49,Pulau Pinang,0
2007,45-49,Sabah,669
2007,45-49,Sarawak,6
2007,45-49,Selangor,683
2007,45-49,Terengganu,24
2007,45-49,W.P. Kuala Lumpur,3705
2007,50-54,Johor,115
2007,50-54,Kedah,308
2007,50-54,Kelantan,169
2007,50-54,Malaysia,4007
2007,50-54,Melaka,491
2007,50-54,Negeri Sembilan,263
2007,50-54,Pahang,51
2007,50-54,Perak,1
2007,50-54,Pulau Pinang,0
2007,50-54,Sabah,329
2007,50-54,Sarawak,1
2007,50-54,Selangor,281
2007,50-54,Terengganu,7
2007,50-54,W.P. Kuala Lumpur,1991
2007,55-59,Johor,42
2007,55-59,Kedah,111
2007,55-59,Kelantan,52
2007,55-59,Malaysia,1456
2007,55-59,Melaka,198
2007,55-59,Negeri Sembilan,134
2007,55-59,Pahang,18
2007,55-59,Perak,1
2007,55-59,Pulau Pinang,0
2007,55-59,Sabah,133
2007,55-59,Sarawak,0
2007,55-59,Selangor,93
2007,55-59,Terengganu,5
2007,55-59,W.P. Kuala Lumpur,669
2007,60-64,Johor,3
2007,60-64,Kedah,7
2007,60-64,Kelantan,8
2007,60-64,Malaysia,135
2007,60-64,Melaka,18
2007,60-64,Negeri Sembilan,10
2007,60-64,Pahang,1
2007,60-64,Perak,0
2007,60-64,Pulau Pinang,0
2007,60-64,Sabah,15
2007,60-64,Sarawak,0
2007,60-64,Selangor,2
2007,60-64,Terengganu,1
2007,60-64,W.P. Kuala Lumpur,70
2008,17-24,Johor,1635
2008,17-24,Kedah,11477
2008,17-24,Kelantan,5282
2008,17-24,Malaysia,89389
2008,17-24,Melaka,6784
2008,17-24,Negeri Sembilan,3621
2008,17-24,Pahang,1139
2008,17-24,Perak,10258
2008,17-24,Pulau Pinang,0
2008,17-24,Sabah,4922
2008,17-24,Sarawak,1701
2008,17-24,Selangor,3719
2008,17-24,Terengganu,3475
2008,17-24,W.P. Kuala Lumpur,35376
2008,25-29,Johor,786
2008,25-29,Kedah,3246
2008,25-29,Kelantan,684
2008,25-29,Malaysia,29145
2008,25-29,Melaka,1834
2008,25-29,Negeri Sembilan,1045
2008,25-29,Pahang,231
2008,25-29,Perak,1910
2008,25-29,Pulau Pinang,0
2008,25-29,Sabah,1858
2008,25-29,Sarawak,1301
2008,25-29,Selangor,1818
2008,25-29,Terengganu,468
2008,25-29,W.P. Kuala Lumpur,13964
2008,30-34,Johor,687
2008,30-34,Kedah,2410
2008,30-34,Kelantan,459
2008,30-34,Malaysia,20549
