year,month,age_group,state,donations
2006,2,30-34,Negeri Sembilan,0
2006,2,30-34,Pahang,26
2006,2,30-34,Perak,0
2006,2,30-34,Pulau Pinang,0
2006,2,30-34,Sabah,0
2006,2,30-34,Sarawak,3
2006,2,30-34,Selangor,7
2006,2,30-34,Terengganu,59
2006,2,30-34,W.P. Kuala Lumpur,1045
2006,2,35-39,Johor,63
2006,2,35-39,Kedah,5
2006,2,35-39,Kelantan,0
2006,2,35-39,Malaysia,1041
2006,2,35-39,Melaka,109
2006,2,35-39,Negeri Sembilan,0
2006,2,35-39,Pahang,16
2006,2,35-39,Perak,0
2006,2,35-39,Pulau Pinang,0
2006,2,35-39,Sabah,0
2006,2,35-39,Sarawak,0
2006,2,35-39,Selangor,2
2006,2,35-39,Terengganu,43
2006,2,35-39,W.P. Kuala Lumpur,803
2006,2,40-44,Johor,47
2006,2,40-44,Kedah,4
2006,2,40-44,Kelantan,0
2006,2,40-44,Malaysia,814
2006,2,40-44,Melaka,80
2006,2,40-44,Negeri Sembilan,0
2006,2,40-44,Pahang,7
2006,2,40-44,Perak,0
2006,2,40-44,Pulau Pinang,0
2006,2,40-44,Sabah,0
2006,2,40-44,Sarawak,0
2006,2,40-44,Selangor,8
2006,2,40-44,Terengganu,60
2006,2,40-44,W.P. Kuala Lumpur,608
2006,2,45-49,Johor,34
2006,2,45-49,Kedah,2
2006,2,45-49,Kelantan,0
2006,2,45-49,Malaysia,502
2006,2,45-49,Melaka,48
2006,2,45-49,Negeri Sembilan,0
2006,2,45-49,Pahang,13
2006,2,45-49,Perak,0
2006,2,45-49,Pulau Pinang,0
2006,2,45-49,Sabah,0
2006,2,45-49,Sarawak,0
2006,2,45-49,Selangor,4
2006,2,45-49,Terengganu,42
2006,2,45-49,W.P. Kuala Lumpur,359
2006,2,50-54,Johor,25
2006,2,50-54,Kedah,0
2006,2,50-54,Kelantan,0
2006,2,50-54,Malaysia,247
2006,2,50-54,Melaka,25
2006,2,50-54,Negeri Sembilan,0
2006,2,50-54,Pahang,6
2006,2,50-54,Perak,0
2006,2,50-54,Pulau Pinang,0
2006,2,50-54,Sabah,0
2006,2,50-54,Sarawak,0
2006,2,50-54,Selangor,2
2006,2,50-54,Terengganu,12
2006,2,50-54,W.P. Kuala Lumpur,177
2006,2,55-59,Johor,5
2006,2,55-59,Kedah,1
2006,2,55-59,Kelantan,0
2006,2,55-59,Malaysia,68
2006,2,55-59,Melaka,9
2006,2,55-59,Negeri Sembilan,0
2006,2,55-59,Pahang,2
2006,2,55-59,Perak,0
2006,2,55-59,Pulau Pinang,0
2006,2,55-59,Sabah,0
2006,2,55-59,Sarawak,0
2006,2,55-59,Selangor,0
2006,2,55-59,Terengganu,7
2006,2,55-59,W.P. Kuala Lumpur,44
2006,2,60-64,Johor,0
2006,2,60-64,Kedah,0
2006,2,60-64,Kelantan,0
2006,2,60-64,Malaysia,7
2006,2,60-64,Melaka,0
2006,2,60-64,Negeri Sembilan,0
2006,2,60-64,Pahang,0
2006,2,60-64,Perak,0
2006,2,60-64,Pulau Pinang,0
2006,2,60-64,Sabah,0
2006,2,60-64,Sarawak,0
2006,2,60-64,Selangor,0
2006,2,60-64,Terengganu,2
2006,2,60-64,W.P. Kuala Lumpur,5
2006,3,17-24,Johor,223
2006,3,17-24,Kedah,8
2006,3,17-24,Kelantan,256
2006,3,17-24,Malaysia,9133
2006,3,17-24,Melaka,724
2006,3,17-24,Negeri Sembilan,0
2006,3,17-24,Pahang,138
2006,3,17-24,Perak,0
2006,3,17-24,Pulau Pinang,0
2006,3,17-24,Sabah,0
2006,3,17-24,Sarawak,1
2006,3,17-24,Selangor,23
2006,3,17-24,Terengganu,925
2006,3,17-24,W.P. Kuala Lumpur,6835
2006,3,25-29,Johor,80
2006,3,25-29,Kedah,1
2006,3,25-29,Kelantan,58
2006,3,25-29,Malaysia,2420
2006,3,25-29,Melaka,242
2006,3,25-29,Negeri Sembilan,0
2006,3,25-29,Pahang,20
2006,3,25-29,Perak,0
2006,3,25-29,Pulau Pinang,0
2006,3,25-29,Sabah,0
2006,3,25-29,Sarawak,1
2006,3,25-29,Selangor,9
2006,3,25-29,Terengganu,163
2006,3,25-29,W.P. Kuala Lumpur,1846
2006,3,30-34,Johor,47
2006,3,30-34,Kedah,1
2006,3,30-34,Kelantan,40
2006,3,30-34,Malaysia,1366
2006,3,30-34,Melaka,164
2006,3,30-34,Negeri Sembilan,0
2006,3,30-34,Pahang,11
2006,3,30-34,Perak,1
2006,3,30-34,Pulau Pinang,0
2006,3,30-34,Sabah,0
2006,3,30-34,Sarawak,2
2006,3,30-34,Selangor,5
2006,3,30-34,Terengganu,110
2006,3,30-34,W.P. Kuala Lumpur,985
2006,3,35-39,Johor,27
2006,3,35-39,Kedah,2
2006,3,35-39,Kelantan,41
2006,3,35-39,Malaysia,1088
2006,3,35-39,Melaka,160
2006,3,35-39,Negeri Sembilan,0
2006,3,35-39,Pahang,14
2006,3,35-39,Perak,0
2006,3,35-39,Pulau Pinang,0
2006,3,35-39,Sabah,0
2006,3,35-39,Sarawak,0
2006,3,35-39,Selangor,3
2006,3,35-39,Terengganu,94
2006,3,35-39,W.P. Kuala Lumpur,747
2006,3,40-44,Johor,28
2006,3,40-44,Kedah,0
2006,3,40-44,Kelantan,42
2006,3,40-44,Malaysia,846
2006,3,40-44,Melaka,95
2006,3,40-44,Negeri Sembilan,0
2006,3,40-44,Pahang,9
2006,3,40-44,Perak,0
2006,3,40-44,Pulau Pinang,0
2006,3,40-44,Sabah,1
2006,3,40-44,Sarawak,0
2006,3,40-44,Selangor,2
2006,3,40-44,Terengganu,94
2006,3,40-44,W.P. Kuala Lumpur,575
2006,3,45-49,Johor,18
2006,3,45-49,Kedah,2
2006,3,45-49,Kelantan,51
2006,3,45-49,Malaysia,616
2006,3,45-49,Melaka,64
2006,3,45-49,Negeri Sembilan,0
2006,3,45-49,Pahang,12
2006,3,45-49,Perak,0
2006,3,45-49,Pulau Pinang,0
2006,3,45-49,Sabah,0
2006,3,45-49,Sarawak,0
2006,3,45-49,Selangor,1
2006,3,45-49,Terengganu,71
2006,3,45-49,W.P. Kuala Lumpur,397
2006,3,50-54,Johor,9
2006,3,50-54,Kedah,0
2006,3,50-54,Kelantan,33
2006,3,50-54,Malaysia,291
2006,3,50-54,Melaka,32
2006,3,50-54,Negeri Sembilan,0
2006,3,50-54,Pahang,6
2006,3,50-54,Perak,0
2006,3,50-54,Pulau Pinang,0
2006,3,50-54,Sabah,0
2006,3,50-54,Sarawak,0
2006,3,50-54,Selangor,0
2006,3,50-54,Terengganu,38
2006,3,50-54,W.P. Kuala Lumpur,173
2006,3,55-59,Johor,3
2006,3,55-59,Kedah,1
2006,3,55-59,Kelantan,4
2006,3,55-59,Malaysia,105
2006,3,55-59,Melaka,11
2006,3,55-59,Negeri Sembilan,0
2006,3,55-59,Pahang,5
2006,3,55-59,Perak,0
2006,3,55-59,Pulau Pinang,0
2006,3,55-59,Sabah,0
2006,3,55-59,Sarawak,0
2006,3,55-59,Selangor,1
2006,3,55-59,Terengganu,10
2006,3,55-59,W.P. Kuala Lumpur,70
2006,3,60-64,Johor,2
2006,3,60-64,Kedah,0
2006,3,60-64,Kelantan,0
2006,3,60-64,Malaysia,5
2006,3,60-64,Melaka,1
2006,3,60-64,Negeri Sembilan,0
2006,3,60-64,Pahang,0
2006,3,60-64,Perak,0
2006,3,60-64,Pulau Pinang,0
2006,3,60-64,Sabah,0
2006,3,60-64,Sarawak,0
2006,3,60-64,Selangor,0
2006,3,60-64,Terengganu,0
2006,3,60-64,W.P. Kuala Lumpur,2
2006,4,17-24,Johor,240
2006,4,17-24,Kedah,30
2006,4,17-24,Kelantan,213
2006,4,17-24,Malaysia,4555
2006,4,17-24,Melaka,786
2006,4,17-24,Negeri Sembilan,0
2006,4,17-24,Pahang,136
2006,4,17-24,Perak,1
2006,4,17-24,Pulau Pinang,0
2006,4,17-24,Sabah,16
2006,4,17-24,Sarawak,1
2006,4,17-24,Selangor,16
2006,4,17-24,Terengganu,711
2006,4,17-24,W.P. Kuala Lumpur,2405
2006,4,25-29,Johor,95
2006,4,25-29,Kedah,12
2006,4,25-29,Kelantan,44
2006,4,25-29,Malaysia,2136
2006,4,25-29,Melaka,294
2006,4,25-29,Negeri Sembilan,0
2006,4,25-29,Pahang,29
2006,4,25-29,Perak,1
2006,4,25-29,Pulau Pinang,0
2006,4,25-29,Sabah,18
2006,4,25-29,Sarawak,1
2006,4,25-29,Selangor,18
2006,4,25-29,Terengganu,71
2006,4,25-29,W.P. Kuala Lumpur,1553
2006,4,30-34,Johor,40
2006,4,30-34,Kedah,9
2006,4,30-34,Kelantan,36
2006,4,30-34,Malaysia,1364
2006,4,30-34,Melaka,196
2006,4,30-34,Negeri Sembilan,1
2006,4,30-34,Pahang,28
2006,4,30-34,Perak,0
2006,4,30-34,Pulau Pinang,0
2006,4,30-34,Sabah,9
2006,4,30-34,Sarawak,0
2006,4,30-34,Selangor,8
2006,4,30-34,Terengganu,28
2006,4,30-34,W.P. Kuala Lumpur,1009
2006,4,35-39,Johor,24
2006,4,35-39,Kedah,10
2006,4,35-39,Kelantan,49
2006,4,35-39,Malaysia,1115
2006,4,35-39,Melaka,230
2006,4,35-39,Negeri Sembilan,0
2006,4,35-39,Pahang,22
2006,4,35-39,Perak,0
2006,4,35-39,Pulau Pinang,0
2006,4,35-39,Sabah,18
2006,4,35-39,Sarawak,0
2006,4,35-39,Selangor,7
2006,4,35-39,Terengganu,33
2006,4,35-39,W.P. Kuala Lumpur,722
2006,4,40-44,Johor,36
2006,4,40-44,Kedah,6
